time,car_id,type,x,y,zone_id,None
50,26,van,810.5,785.5,2,-1
50,29,van,856,947,1,-1
50,63,van,1573,689,2,-1
51,1,van,1286,738,2,-1
51,2,van,1191.5,647.5,2,-1
51,5,van,987,737,2,-1
51,7,van,1774,744,2,-1
51,21,van,1407,639,2,-1
51,26,van,803,785.5,2,-1
51,29,van,869,947,1,-1
51,63,van,1565.5,690.5,2,-1
52,1,van,1279,738,2,-1
52,2,van,1185,649,2,-1
52,5,van,978.5,736.5,2,-1
52,7,van,1766,743.5,2,-1
52,21,van,1400.5,639,2,-1
52,29,van,879,946.5,1,-1
52,63,van,1559,688.5,2,-1
53,1,van,1270,739,2,-1
53,2,van,1179,648.5,2,-1
53,5,van,970,736.5,2,-1
53,7,van,1759.5,744,2,-1
53,21,van,1394,640,2,-1
53,29,van,890.5,946.5,1,-1
53,63,van,1554,688,2,-1
54,1,van,1263,738.5,2,-1
54,2,van,1173,648.5,2,-1
54,5,van,962.5,737,2,-1
54,7,van,1753.5,744,2,-1
54,21,van,1388,640,2,-1
54,29,van,900.5,947.5,1,-1
54,63,van,1548.5,688.5,2,-1
55,1,van,1257,738.5,2,-1
55,2,van,1166,647.5,2,-1
55,5,van,954.5,738.5,2,-1
55,7,van,1745.5,743.5,2,-1
55,21,van,1382,640,2,-1
55,29,van,908.5,946.5,1,-1
55,63,van,1540,687.5,2,-1
56,1,van,1250,739,2,-1
56,2,van,1160.5,648,2,-1
56,5,van,947,739,2,-1
56,7,van,1737.5,743,2,-1
56,21,van,1375,639.5,2,-1
56,29,van,918.5,947,1,-1
56,63,van,1533.5,688.5,2,-1
56,70,van,2025,647.5,2,-1
57,1,van,1241.5,739,2,-1
57,2,van,1154.5,649,2,-1
57,5,van,936.5,739,2,-1
57,7,van,1731,742.5,2,-1
57,21,van,1369.5,638.5,2,-1
57,29,van,928.5,947.5,1,-1
57,63,van,1526.5,688,2,-1
57,70,van,2012,648,2,-1
58,1,van,1233.5,738,2,-1
58,2,van,1148.5,648.5,2,-1
58,5,van,927.5,738,2,-1
58,7,van,1725,743,2,-1
58,21,van,1364,639.5,2,-1
58,29,van,940,946.5,1,-1
58,63,van,1520,688,2,-1
58,70,van,1997,648.5,2,-1
59,1,van,1226.5,738,2,-1
59,2,van,1142,648,2,-1
59,5,van,919.5,737,2,-1
59,7,van,1720.5,743.5,2,-1
59,21,van,1357,639.5,2,-1
59,29,van,951.5,947.5,1,-1
59,57,van,2195,745,2,-1
59,63,van,1513.5,688,2,-1
59,70,van,1991,651,2,-1
60,1,van,1220,738,2,-1
60,2,van,1136.5,648,2,-1
60,5,van,912.5,736.5,2,-1
60,7,van,1715,743.5,2,-1
60,21,van,1350.5,639.5,2,-1
60,29,van,961.5,947,1,-1
60,57,van,2190,746,2,-1
60,63,van,1506.5,687.5,2,-1
60,70,van,1984,650.5,2,-1
61,1,van,1211,738,2,-1
61,2,van,1130,648,2,-1
61,5,van,903.5,736.5,2,-1
61,7,van,1707,743,2,-1
61,21,van,1345.5,639,2,-1
61,29,van,971.5,946.5,1,-1
61,57,van,2184,745.5,2,-1
61,63,van,1500.5,688.5,2,-1
61,70,van,1977,650,2,-1
62,1,van,1201.5,739,2,-1
